Cj/L,Cj/dj,Cp/Cj,Cp/L,Cp/dp,ci95_high,ci95_low,max,mean,median,method,metric,min,n,q25,q75,sd,sem
,,,,,0.5532576696674137,0.5504959303325864,0.5994,0.5518768000000001,0.553,bez_permutacji,cp,0.489,500,0.54215,0.5624,0.015753665532676226,0.0007045253405171894
,,,,,0.9067806751485451,0.9063489248514548,0.9134,0.9065648,0.9066,bez_permutacji,cj,0.9002,500,0.9048,0.9082,0.0024628138102031722,0.00011014038191079116
0.009065647999999999,0.0002,0.6087560425906676,0.005518768,0.0002,,,,,,bez_permutacji,derived,,,,,,
,,,,,0.5516646519694994,0.5489545480305005,0.6134,0.5503096,0.5512,z_permutacja,cp,0.5006,500,0.54075,0.5607,0.015459124065539662,0.000691353045662992
,,,,,0.9067314095702336,0.9062877904297665,0.9134,0.9065096,0.9064,z_permutacja,cj,0.8998,500,0.9048,0.9084,0.002530516719909096,0.00011316814807833067
0.009065096,0.0002,0.6070642826066044,0.005503096,0.0002,,,,,,z_permutacja,derived,,,,,,
